Most common words,GOT1 relative frequency,GOT2 relative frequency,Relative frequency difference
road,0.0001750193124758594,0.0002892856976217916,0.00011426638514593223
night,0.002106266898416377,0.001992338594911371,0.00011392830350500597
rose,0.0006457609115488606,0.0005319124117561974,0.00011384849979266315
doubt,0.00036210892236384707,0.0004759216315713346,0.00011381270920748752
moon,0.00045867130166087294,0.0003452764778066545,0.00011339482385421847
stone,0.0012191000386249516,0.001105817908651042,0.0001132821299739096
field,0.00033193317883352646,0.000219297222390713,0.00011263595644281347
truly,0.00043453070683661645,0.0003219469860629616,0.00011258372077365482
work,0.00043453070683661645,0.0003219469860629616,0.00011258372077365482
trying,0.0002655465430668212,0.00037793776624782453,0.00011239122318100334
among,0.0003500386249517188,0.0002379608157856673,0.0001120778091660515
less,0.00045263615295480883,0.00034061057945791593,0.0001120255734968929
eight,0.0002474410969486288,0.00035927417285287023,0.00011183307590424143
knew,0.0016053495558130551,0.0017170505923357953,0.0001117010365227402
truth,0.000567303978370027,0.0004572580381763803,0.00011004594019364675
use,0.0004224604094244882,0.0003126151893654845,0.00010984522005900375
wolves,0.0005250579374275783,0.00041526495303773314,0.00010979298438984513
wants,0.0003560737736577829,0.0002472926124831444,0.00010878116117463848
dagger,0.0002836519891850135,0.00039193546129404023,0.00010828347210902671
hands,0.001188924295094631,0.0012971197409493236,0.00010819544585469252
twenty,0.00033193317883352646,0.00022396312073945157,0.00010797005809407489
born,0.0002655465430668212,0.00037327186789908593,0.00010772532483226474
sister,0.0011527134028582464,0.0010451612301174407,0.00010755217274080573
safe,0.0005552336809578988,0.00044792624147890314,0.00010730743947899568
taste,0.00041039011201236,0.0003032833926680073,0.00010710671934435268
call,0.0006759366550791811,0.000569239598546106,0.0001066970565330751
beard,0.00033193317883352646,0.000438594444781426,0.00010666126594789953
deep,0.0004767767477790653,0.0005832372935923218,0.00010646054581325652
blue,0.0006336906141367324,0.0005272465134074589,0.00010644410072927347
besides,0.00016898416376979529,0.00027528800257557587,0.00010630383880578059
pulled,0.0005612688296639629,0.0006672234638696161,0.00010595463420565317
bed,0.0007543935882580147,0.0006485598704746618,0.00010583371778335288
service,0.00031986288142139824,0.00021463132404197442,0.00010523155737942382
freys,0.0001327732715334106,0.0002379608157856673,0.0001051875442522567
trees,0.0005854094244882194,0.000690552955613309,0.00010514353112508958
